Round   0 	 Average Loss 2.304 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545881types 	 Time taken: 7.42s
Round   1 	 Average Loss 2.315 	 Testing accuracy: 12.01 	 CommOverhead_PerIter: 115545897types 	 Time taken: 12.82s
Round   2 	 Average Loss 2.291 	 Testing accuracy: 10.80 	 CommOverhead_PerIter: 115545919types 	 Time taken: 18.19s
Round   3 	 Average Loss 2.309 	 Testing accuracy: 11.09 	 CommOverhead_PerIter: 115545923types 	 Time taken: 23.59s
Round   4 	 Average Loss 2.291 	 Testing accuracy: 10.27 	 CommOverhead_PerIter: 115545915types 	 Time taken: 28.98s
Round   5 	 Average Loss 2.320 	 Testing accuracy: 12.52 	 CommOverhead_PerIter: 115545915types 	 Time taken: 34.38s
Round   6 	 Average Loss 2.269 	 Testing accuracy: 11.46 	 CommOverhead_PerIter: 115545923types 	 Time taken: 39.75s
Round   7 	 Average Loss 2.315 	 Testing accuracy: 13.78 	 CommOverhead_PerIter: 115545919types 	 Time taken: 45.15s
Round   8 	 Average Loss 2.262 	 Testing accuracy: 14.33 	 CommOverhead_PerIter: 115545925types 	 Time taken: 50.53s
Round   9 	 Average Loss 2.299 	 Testing accuracy: 11.71 	 CommOverhead_PerIter: 115545921types 	 Time taken: 55.91s
Round  10 	 Average Loss 2.285 	 Testing accuracy: 12.97 	 CommOverhead_PerIter: 115545923types 	 Time taken: 61.31s
Round  11 	 Average Loss 2.300 	 Testing accuracy: 13.40 	 CommOverhead_PerIter: 115545925types 	 Time taken: 66.66s
Round  12 	 Average Loss 2.272 	 Testing accuracy: 12.55 	 CommOverhead_PerIter: 115545933types 	 Time taken: 72.07s
Round  13 	 Average Loss 2.271 	 Testing accuracy: 12.23 	 CommOverhead_PerIter: 115545931types 	 Time taken: 77.47s
Round  14 	 Average Loss 2.295 	 Testing accuracy: 14.28 	 CommOverhead_PerIter: 115545915types 	 Time taken: 82.89s
