Round   0 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 189.62s
Round   1 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 378.55s
Round   2 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 569.33s
Round   3 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 758.42s
Round   4 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 948.51s
Round   5 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 1139.01s
Round   6 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 1328.93s
Round   7 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 1509.60s
Round   8 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 1696.37s
Round   9 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 1877.12s
Round  10 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 2067.46s
Round  11 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 2255.28s
Round  12 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 2440.95s
Round  13 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 2626.48s
Round  14 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 2818.51s
Round  15 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 3010.60s
Round  16 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 3202.95s
Round  17 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 3396.54s
Round  18 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 3578.01s
Round  19 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 3757.77s
Round  20 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 3947.07s
Round  21 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 4117.21s
Round  22 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 4301.34s
Round  23 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 4490.40s
Round  24 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 4665.09s
