Round   0 	 Average Loss 2.297 	 Testing accuracy: 11.04 	 CommOverhead_PerIter: 10262311types 	 Time taken: 3.55s
Round   1 	 Average Loss 2.301 	 Testing accuracy: 11.62 	 CommOverhead_PerIter: 10262333types 	 Time taken: 5.98s
Round   2 	 Average Loss 2.293 	 Testing accuracy: 11.94 	 CommOverhead_PerIter: 10262301types 	 Time taken: 8.43s
Round   3 	 Average Loss 2.300 	 Testing accuracy: 12.33 	 CommOverhead_PerIter: 10262295types 	 Time taken: 11.29s
Round   4 	 Average Loss 2.291 	 Testing accuracy: 15.03 	 CommOverhead_PerIter: 10262305types 	 Time taken: 14.27s
Round   5 	 Average Loss 2.290 	 Testing accuracy: 15.62 	 CommOverhead_PerIter: 10262283types 	 Time taken: 17.37s
Round   6 	 Average Loss 2.285 	 Testing accuracy: 18.14 	 CommOverhead_PerIter: 10262305types 	 Time taken: 20.02s
Round   7 	 Average Loss 2.287 	 Testing accuracy: 21.21 	 CommOverhead_PerIter: 10262297types 	 Time taken: 22.89s
Round   8 	 Average Loss 2.282 	 Testing accuracy: 22.92 	 CommOverhead_PerIter: 10262313types 	 Time taken: 25.55s
Round   9 	 Average Loss 2.282 	 Testing accuracy: 24.19 	 CommOverhead_PerIter: 10262299types 	 Time taken: 28.14s
Round  10 	 Average Loss 2.273 	 Testing accuracy: 24.62 	 CommOverhead_PerIter: 10262301types 	 Time taken: 31.06s
Round  11 	 Average Loss 2.276 	 Testing accuracy: 27.94 	 CommOverhead_PerIter: 10262297types 	 Time taken: 34.03s
Round  12 	 Average Loss 2.267 	 Testing accuracy: 28.63 	 CommOverhead_PerIter: 10262289types 	 Time taken: 36.98s
Round  13 	 Average Loss 2.266 	 Testing accuracy: 29.38 	 CommOverhead_PerIter: 10262301types 	 Time taken: 39.67s
Round  14 	 Average Loss 2.260 	 Testing accuracy: 32.90 	 CommOverhead_PerIter: 10262293types 	 Time taken: 42.10s
Round  15 	 Average Loss 2.257 	 Testing accuracy: 34.84 	 CommOverhead_PerIter: 10262299types 	 Time taken: 44.54s
Round  16 	 Average Loss 2.247 	 Testing accuracy: 36.35 	 CommOverhead_PerIter: 10262299types 	 Time taken: 46.98s
Round  17 	 Average Loss 2.253 	 Testing accuracy: 37.20 	 CommOverhead_PerIter: 10262309types 	 Time taken: 49.66s
Round  18 	 Average Loss 2.239 	 Testing accuracy: 38.24 	 CommOverhead_PerIter: 10262313types 	 Time taken: 52.30s
Round  19 	 Average Loss 2.242 	 Testing accuracy: 39.09 	 CommOverhead_PerIter: 10262305types 	 Time taken: 54.95s
Round  20 	 Average Loss 2.227 	 Testing accuracy: 39.82 	 CommOverhead_PerIter: 10262297types 	 Time taken: 57.31s
Round  21 	 Average Loss 2.239 	 Testing accuracy: 39.96 	 CommOverhead_PerIter: 10262305types 	 Time taken: 59.68s
Round  22 	 Average Loss 2.218 	 Testing accuracy: 42.15 	 CommOverhead_PerIter: 10262309types 	 Time taken: 62.04s
Round  23 	 Average Loss 2.229 	 Testing accuracy: 42.02 	 CommOverhead_PerIter: 10262295types 	 Time taken: 64.42s
Round  24 	 Average Loss 2.206 	 Testing accuracy: 44.25 	 CommOverhead_PerIter: 10262301types 	 Time taken: 66.75s
Round  25 	 Average Loss 2.215 	 Testing accuracy: 45.04 	 CommOverhead_PerIter: 10262309types 	 Time taken: 69.10s
Round  26 	 Average Loss 2.190 	 Testing accuracy: 44.62 	 CommOverhead_PerIter: 10262305types 	 Time taken: 71.47s
Round  27 	 Average Loss 2.208 	 Testing accuracy: 44.60 	 CommOverhead_PerIter: 10262295types 	 Time taken: 73.82s
Round  28 	 Average Loss 2.183 	 Testing accuracy: 46.50 	 CommOverhead_PerIter: 10262299types 	 Time taken: 76.16s
Round  29 	 Average Loss 2.187 	 Testing accuracy: 47.71 	 CommOverhead_PerIter: 10262299types 	 Time taken: 78.59s
Round  30 	 Average Loss 2.162 	 Testing accuracy: 47.45 	 CommOverhead_PerIter: 10262305types 	 Time taken: 81.07s
Round  31 	 Average Loss 2.171 	 Testing accuracy: 48.38 	 CommOverhead_PerIter: 10262297types 	 Time taken: 83.55s
Round  32 	 Average Loss 2.157 	 Testing accuracy: 48.35 	 CommOverhead_PerIter: 10262299types 	 Time taken: 86.09s
Round  33 	 Average Loss 2.165 	 Testing accuracy: 48.48 	 CommOverhead_PerIter: 10262301types 	 Time taken: 88.47s
