Round   0 	 Average Loss 1.512 	 Testing accuracy: 52.37 	 CommOverhead_PerIter: 10262265types 	 Time taken: 85.01s
Round   1 	 Average Loss 1.496 	 Testing accuracy: 77.01 	 CommOverhead_PerIter: 10262265types 	 Time taken: 169.37s
Round   2 	 Average Loss 1.491 	 Testing accuracy: 73.44 	 CommOverhead_PerIter: 10262265types 	 Time taken: 250.24s
Round   3 	 Average Loss 1.490 	 Testing accuracy: 85.43 	 CommOverhead_PerIter: 10262265types 	 Time taken: 332.34s
Round   4 	 Average Loss 1.488 	 Testing accuracy: 81.55 	 CommOverhead_PerIter: 10262265types 	 Time taken: 406.10s
Round   5 	 Average Loss 1.489 	 Testing accuracy: 87.82 	 CommOverhead_PerIter: 10262265types 	 Time taken: 477.82s
Round   6 	 Average Loss 1.488 	 Testing accuracy: 84.83 	 CommOverhead_PerIter: 10262265types 	 Time taken: 548.74s
Round   7 	 Average Loss 1.487 	 Testing accuracy: 89.09 	 CommOverhead_PerIter: 10262265types 	 Time taken: 617.81s
Round   8 	 Average Loss 1.487 	 Testing accuracy: 85.90 	 CommOverhead_PerIter: 10262265types 	 Time taken: 688.57s
Round   9 	 Average Loss 1.486 	 Testing accuracy: 89.55 	 CommOverhead_PerIter: 10262265types 	 Time taken: 759.41s
Round  10 	 Average Loss 1.486 	 Testing accuracy: 87.20 	 CommOverhead_PerIter: 10262265types 	 Time taken: 834.50s
Round  11 	 Average Loss 1.486 	 Testing accuracy: 90.15 	 CommOverhead_PerIter: 10262265types 	 Time taken: 911.21s
Round  12 	 Average Loss 1.486 	 Testing accuracy: 88.45 	 CommOverhead_PerIter: 10262265types 	 Time taken: 982.20s
Round  13 	 Average Loss 1.485 	 Testing accuracy: 90.61 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1055.05s
Round  14 	 Average Loss 1.486 	 Testing accuracy: 89.05 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1131.86s
Round  15 	 Average Loss 1.485 	 Testing accuracy: 90.80 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1208.45s
Round  16 	 Average Loss 1.484 	 Testing accuracy: 89.41 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1284.80s
Round  17 	 Average Loss 1.485 	 Testing accuracy: 91.22 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1356.25s
Round  18 	 Average Loss 1.484 	 Testing accuracy: 89.58 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1433.55s
Round  19 	 Average Loss 1.485 	 Testing accuracy: 91.46 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1510.27s
Round  20 	 Average Loss 1.484 	 Testing accuracy: 90.44 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1585.12s
Round  21 	 Average Loss 1.484 	 Testing accuracy: 91.83 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1662.14s
Round  22 	 Average Loss 1.484 	 Testing accuracy: 90.38 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1737.28s
Round  23 	 Average Loss 1.484 	 Testing accuracy: 91.92 	 CommOverhead_PerIter: 10262265types 	 Time taken: 1808.43s
